query_id,warehouse_name,user_name,role_name,start_time,end_time,total_elapsed_ms,bytes_scanned,rows_produced,query_text
Q00-017,WH_SCIENCE,frank,DATA_ENGINEER,2024-01-01T10:42:00,2024-01-01T10:42:03.624000,3624,8590255,957,create temporary table stage_0 as select * from raw_events
Q00-018,WH_FINOPS,chloe,ANALYST,2024-01-01T01:30:00,2024-01-01T01:30:03.622000,3622,38374,4269,select * from inventory where updated_at >= '2024-01-01'
Q00-019,WH_ANALYTICS,diego,DATA_ENGINEER,2024-01-01T02:23:00,2024-01-01T02:23:02.754000,2754,5276630,1030,"select region, sum(revenue) from revenue group by 1"
Q00-020,WH_FINOPS,frank,DATA_ENGINEER,2024-01-01T13:56:00,2024-01-01T13:56:02.722000,2722,6761158,2432,select * from inventory where updated_at >= '2024-01-01'
Q00-021,WH_ANALYTICS,diego,ANALYST,2024-01-01T22:41:00,2024-01-01T22:41:03.155000,3155,2929694,4672,"select region, sum(revenue) from revenue group by 1"
Q00-022,WH_SCIENCE,ava,FINOPS,2024-01-01T10:22:00,2024-01-01T10:22:02.400000,2400,3536280,3531,select * from inventory where updated_at >= '2024-01-01'
Q00-023,WH_FINOPS,chloe,TEMP_ROLE,2024-01-01T15:52:00,2024-01-01T15:52:03.669000,3669,7428210,1760,select * from inventory where updated_at >= '2024-01-01'
Q00-024,WH_SCIENCE,ben,TEMP_ROLE,2024-01-01T22:29:00,2024-01-01T22:29:00.744000,744,4771145,4232,select * from inventory where updated_at >= '2024-01-01'
Q00-025,WH_INGEST,ben,SYSADMIN,2024-01-01T22:57:00,2024-01-01T22:57:02.592000,2592,3778844,1641,select * from sessions where user_id = 'ben' limit 100
Q00-026,WH_CORE,ben,SYSADMIN,2024-01-01T16:13:00,2024-01-01T16:13:00.646000,646,7650615,3405,select * from inventory where updated_at >= '2024-01-01'
Q00-027,WH_ANALYTICS,frank,TEMP_ROLE,2024-01-01T13:06:00,2024-01-01T13:06:04.099000,4099,6715062,2008,select * from sessions where user_id = 'frank' limit 100
Q00-028,WH_CORE,diego,SYSADMIN,2024-01-01T07:28:00,2024-01-01T07:28:01.490000,1490,8699889,3815,select count(*) from sales where order_date >= '2024-01-01'
Q00-029,WH_FINOPS,ava,ANALYST,2024-01-01T15:34:00,2024-01-01T15:34:01.142000,1142,7805419,4361,select * from inventory where updated_at >= '2024-01-01'
Q00-030,WH_FINOPS,diego,DATA_ENGINEER,2024-01-01T20:54:00,2024-01-01T20:54:04.185000,4185,7169521,4498,create temporary table stage_0 as select * from raw_events
Q00-031,WH_ANALYTICS,diego,TEMP_ROLE,2024-01-01T15:21:00,2024-01-01T15:21:02.173000,2173,4157994,2281,select * from inventory where updated_at >= '2024-01-01'
Q00-032,WH_SCIENCE,ben,TEMP_ROLE,2024-01-01T09:22:00,2024-01-01T09:22:03.653000,3653,1309954,2350,select * from sessions where user_id = 'ben' limit 100
Q00-033,WH_INGEST,chloe,DATA_ENGINEER,2024-01-01T18:26:00,2024-01-01T18:26:00.710000,710,2331531,1245,select * from sessions where user_id = 'chloe' limit 100
Q00-034,WH_SCIENCE,ben,TEMP_ROLE,2024-01-01T07:18:00,2024-01-01T07:18:00.576000,576,6970328,3349,"select region, sum(revenue) from revenue group by 1"
Q00-035,WH_FINOPS,diego,SECURITY,2024-01-01T02:07:00,2024-01-01T02:07:01.744000,1744,7058838,3200,select * from inventory where updated_at >= '2024-01-01'
Q00-036,WH_CORE,diego,FINOPS,2024-01-01T16:16:00,2024-01-01T16:16:00.098000,98,5911533,2456,create temporary table stage_0 as select * from raw_events
Q00-037,WH_SCIENCE,frank,FINOPS,2024-01-01T18:38:00,2024-01-01T18:38:01.856000,1856,8201131,1807,"select region, sum(revenue) from revenue group by 1"
Q00-038,WH_SCIENCE,ava,SECURITY,2024-01-01T13:16:00,2024-01-01T13:16:02.803000,2803,6793308,1362,create temporary table stage_0 as select * from raw_events
Q00-039,WH_ANALYTICS,ellen,FINOPS,2024-01-01T00:55:00,2024-01-01T00:55:03.277000,3277,464696,697,create temporary table stage_0 as select * from raw_events
Q00-040,WH_ANALYTICS,ben,SECURITY,2024-01-01T01:42:00,2024-01-01T01:42:02.181000,2181,6370307,2691,select * from sessions where user_id = 'ben' limit 100
Q00-041,WH_SCIENCE,chloe,DATA_ENGINEER,2024-01-01T12:56:00,2024-01-01T12:56:02.329000,2329,7082684,2076,select count(*) from sales where order_date >= '2024-01-01'
Q00-042,WH_SCIENCE,frank,SYSADMIN,2024-01-01T18:24:00,2024-01-01T18:24:00.476000,476,5881360,1846,select count(*) from sales where order_date >= '2024-01-01'
Q00-043,WH_CORE,ben,SYSADMIN,2024-01-01T06:48:00,2024-01-01T06:48:00.216000,216,2566551,1964,select * from sessions where user_id = 'ben' limit 100
Q00-044,WH_SCIENCE,ava,TEMP_ROLE,2024-01-01T19:15:00,2024-01-01T19:15:01.835000,1835,7811975,2109,"select region, sum(revenue) from revenue group by 1"
Q00-045,WH_ANALYTICS,ellen,FINOPS,2024-01-01T03:54:00,2024-01-01T03:54:01.391000,1391,5228367,895,select * from inventory where updated_at >= '2024-01-01'
Q00-046,WH_CORE,ellen,DATA_ENGINEER,2024-01-01T23:07:00,2024-01-01T23:07:03.124000,3124,6664757,1634,select count(*) from sales where order_date >= '2024-01-01'
Q00-047,WH_FINOPS,frank,TEMP_ROLE,2024-01-01T08:17:00,2024-01-01T08:17:00.884000,884,5069717,4928,select count(*) from sales where order_date >= '2024-01-01'
Q00-048,WH_FINOPS,chloe,SYSADMIN,2024-01-01T18:11:00,2024-01-01T18:11:03.559000,3559,6227147,574,select * from inventory where updated_at >= '2024-01-01'
Q00-049,WH_INGEST,diego,SYSADMIN,2024-01-01T16:43:00,2024-01-01T16:43:00.914000,914,7283315,2977,create temporary table stage_0 as select * from raw_events
Q00-050,WH_ANALYTICS,ben,SECURITY,2024-01-01T17:48:00,2024-01-01T17:48:02.262000,2262,8121742,3818,create temporary table stage_0 as select * from raw_events
Q00-051,WH_FINOPS,chloe,DATA_ENGINEER,2024-01-01T08:22:00,2024-01-01T08:22:00.759000,759,4689639,3702,select * from sessions where user_id = 'chloe' limit 100
Q00-052,WH_SCIENCE,ellen,FINOPS,2024-01-01T22:48:00,2024-01-01T22:48:03.154000,3154,5653798,245,create temporary table stage_0 as select * from raw_events
Q00-053,WH_INGEST,diego,ANALYST,2024-01-01T07:14:00,2024-01-01T07:14:02.956000,2956,4344434,2798,"select region, sum(revenue) from revenue group by 1"
Q00-054,WH_FINOPS,chloe,TEMP_ROLE,2024-01-01T18:58:00,2024-01-01T18:58:00.133000,133,8677566,1575,select count(*) from sales where order_date >= '2024-01-01'
Q00-055,WH_ANALYTICS,diego,TEMP_ROLE,2024-01-01T16:40:00,2024-01-01T16:40:02.018000,2018,7997516,4030,create temporary table stage_0 as select * from raw_events
Q00-056,WH_CORE,chloe,SYSADMIN,2024-01-01T07:33:00,2024-01-01T07:33:03.362000,3362,4091983,2518,select * from inventory where updated_at >= '2024-01-01'
Q00-057,WH_INGEST,ellen,SECURITY,2024-01-01T18:07:00,2024-01-01T18:07:02.866000,2866,7148769,4518,"select region, sum(revenue) from revenue group by 1"
Q00-058,WH_INGEST,diego,TEMP_ROLE,2024-01-01T09:14:00,2024-01-01T09:14:02.561000,2561,4227853,1898,select count(*) from sales where order_date >= '2024-01-01'
Q00-059,WH_ANALYTICS,ava,DATA_ENGINEER,2024-01-01T18:17:00,2024-01-01T18:17:01.566000,1566,3223524,1782,create temporary table stage_0 as select * from raw_events
Q01-000,WH_INGEST,ellen,TEMP_ROLE,2024-01-02T17:54:00,2024-01-02T17:54:02.368000,2368,1696548,1600,"select region, sum(revenue) from revenue group by 1"
Q01-001,WH_ANALYTICS,ben,DATA_ENGINEER,2024-01-02T10:19:00,2024-01-02T10:19:00.165000,165,8971299,1046,"select region, sum(revenue) from revenue group by 1"
Q01-002,WH_CORE,ellen,SYSADMIN,2024-01-02T09:58:00,2024-01-02T09:58:01.084000,1084,8245577,850,select count(*) from sales where order_date >= '2024-01-02'
Q01-003,WH_FINOPS,diego,DATA_ENGINEER,2024-01-02T16:20:00,2024-01-02T16:20:03.658000,3658,5726097,1520,select count(*) from sales where order_date >= '2024-01-02'
Q01-004,WH_INGEST,ava,SECURITY,2024-01-02T02:13:00,2024-01-02T02:13:03.332000,3332,8260138,616,select * from inventory where updated_at >= '2024-01-02'
Q01-005,WH_CORE,ben,ANALYST,2024-01-02T19:12:00,2024-01-02T19:12:02.539000,2539,1439098,2043,select count(*) from sales where order_date >= '2024-01-02'
Q01-006,WH_FINOPS,ellen,SECURITY,2024-01-02T20:20:00,2024-01-02T20:20:01.898000,1898,8777312,3126,create temporary table stage_1 as select * from raw_events
Q01-007,WH_SCIENCE,ellen,DATA_ENGINEER,2024-01-02T14:38:00,2024-01-02T14:38:02.551000,2551,1020496,822,select * from sessions where user_id = 'ellen' limit 100
Q01-008,WH_ANALYTICS,frank,DATA_ENGINEER,2024-01-02T02:46:00,2024-01-02T02:46:01.336000,1336,4034269,1433,select * from inventory where updated_at >= '2024-01-02'
Q01-009,WH_CORE,ava,ANALYST,2024-01-02T13:56:00,2024-01-02T13:56:03.740000,3740,7893823,2395,select count(*) from sales where order_date >= '2024-01-02'
Q01-010,WH_ANALYTICS,frank,DATA_ENGINEER,2024-01-02T09:39:00,2024-01-02T09:39:03.769000,3769,1204198,1922,"select region, sum(revenue) from revenue group by 1"
Q01-011,WH_FINOPS,ben,TEMP_ROLE,2024-01-02T14:30:00,2024-01-02T14:30:00.990000,990,3781676,1230,"select region, sum(revenue) from revenue group by 1"
Q01-012,WH_ANALYTICS,ava,SYSADMIN,2024-01-02T05:39:00,2024-01-02T05:39:02.569000,2569,4852082,3607,select count(*) from sales where order_date >= '2024-01-02'
Q01-013,WH_SCIENCE,chloe,TEMP_ROLE,2024-01-02T13:44:00,2024-01-02T13:44:02.280000,2280,8406529,4433,create temporary table stage_1 as select * from raw_events
Q01-014,WH_SCIENCE,ellen,SYSADMIN,2024-01-02T01:21:00,2024-01-02T01:21:03.589000,3589,5417658,4955,"select region, sum(revenue) from revenue group by 1"
Q01-015,WH_CORE,ben,SYSADMIN,2024-01-02T23:00:00,2024-01-02T23:00:00.219000,219,4531644,4730,select count(*) from sales where order_date >= '2024-01-02'
Q01-016,WH_ANALYTICS,ellen,SECURITY,2024-01-02T22:14:00,2024-01-02T22:14:03.672000,3672,4676692,1496,select * from inventory where updated_at >= '2024-01-02'
Q01-017,WH_SCIENCE,diego,TEMP_ROLE,2024-01-02T03:06:00,2024-01-02T03:06:03.900000,3900,5847817,3355,"select region, sum(revenue) from revenue group by 1"
Q01-018,WH_INGEST,ava,TEMP_ROLE,2024-01-02T05:29:00,2024-01-02T05:29:02.751000,2751,6916258,4068,"select region, sum(revenue) from revenue group by 1"
Q01-019,WH_SCIENCE,ava,FINOPS,2024-01-02T15:31:00,2024-01-02T15:31:00.771000,771,5286722,2077,"select region, sum(revenue) from revenue group by 1"
Q01-020,WH_CORE,ellen,SECURITY,2024-01-02T00:02:00,2024-01-02T00:02:04.494000,4494,7760676,3395,select count(*) from sales where order_date >= '2024-01-02'
Q01-021,WH_ANALYTICS,chloe,FINOPS,2024-01-02T21:15:00,2024-01-02T21:15:04.133000,4133,7426216,432,select * from sessions where user_id = 'chloe' limit 100
Q01-022,WH_INGEST,ben,FINOPS,2024-01-02T09:49:00,2024-01-02T09:49:03.639000,3639,8142114,1004,select count(*) from sales where order_date >= '2024-01-02'
Q01-023,WH_FINOPS,frank,ANALYST,2024-01-02T05:24:00,2024-01-02T05:24:02.595000,2595,239419,4534,create temporary table stage_1 as select * from raw_events
Q01-024,WH_CORE,ava,ANALYST,2024-01-02T15:45:00,2024-01-02T15:45:01.012000,1012,2593206,4092,"select region, sum(revenue) from revenue group by 1"
Q01-025,WH_FINOPS,chloe,TEMP_ROLE,2024-01-02T14:10:00,2024-01-02T14:10:04.002000,4002,7932533,2006,create temporary table stage_1 as select * from raw_events
Q01-026,WH_FINOPS,diego,ANALYST,2024-01-02T06:30:00,2024-01-02T06:30:04.213000,4213,2300229,581,"select region, sum(revenue) from revenue group by 1"
Q01-027,WH_SCIENCE,ellen,DATA_ENGINEER,2024-01-02T09:07:00,2024-01-02T09:07:00.071000,71,4755250,2455,select * from inventory where updated_at >= '2024-01-02'
Q01-028,WH_FINOPS,diego,TEMP_ROLE,2024-01-02T05:04:00,2024-01-02T05:04:03.708000,3708,8135900,2837,"select region, sum(revenue) from revenue group by 1"
Q01-029,WH_FINOPS,diego,FINOPS,2024-01-02T15:32:00,2024-01-02T15:32:02.686000,2686,3175061,1966,select * from inventory where updated_at >= '2024-01-02'
Q01-030,WH_SCIENCE,diego,ANALYST,2024-01-02T01:29:00,2024-01-02T01:29:02.656000,2656,7945224,3133,create temporary table stage_1 as select * from raw_events
Q01-031,WH_ANALYTICS,ava,SECURITY,2024-01-02T04:18:00,2024-01-02T04:18:04.164000,4164,5579946,832,create temporary table stage_1 as select * from raw_events
Q01-032,WH_CORE,diego,FINOPS,2024-01-02T00:31:00,2024-01-02T00:31:01.230000,1230,6888299,1274,select count(*) from sales where order_date >= '2024-01-02'
Q01-033,WH_SCIENCE,chloe,DATA_ENGINEER,2024-01-02T21:16:00,2024-01-02T21:16:03.306000,3306,1357467,2701,select * from inventory where updated_at >= '2024-01-02'
Q01-034,WH_SCIENCE,frank,DATA_ENGINEER,2024-01-02T16:39:00,2024-01-02T16:39:04.482000,4482,612286,570,select * from sessions where user_id = 'frank' limit 100
Q01-035,WH_INGEST,frank,ANALYST,2024-01-02T03:05:00,2024-01-02T03:05:03.605000,3605,1661601,833,create temporary table stage_1 as select * from raw_events
Q01-036,WH_ANALYTICS,chloe,TEMP_ROLE,2024-01-02T00:59:00,2024-01-02T00:59:00.426000,426,5452103,469,"select region, sum(revenue) from revenue group by 1"
Q01-037,WH_INGEST,diego,DATA_ENGINEER,2024-01-02T04:58:00,2024-01-02T04:58:02.050000,2050,8921492,3385,select * from inventory where updated_at >= '2024-01-02'
Q01-038,WH_ANALYTICS,ben,ANALYST,2024-01-02T02:41:00,2024-01-02T02:41:03.183000,3183,4050453,4086,select * from inventory where updated_at >= '2024-01-02'
Q01-039,WH_ANALYTICS,diego,ANALYST,2024-01-02T21:46:00,2024-01-02T21:46:02.130000,2130,7720313,2101,select count(*) from sales where order_date >= '2024-01-02'
Q01-040,WH_SCIENCE,frank,DATA_ENGINEER,2024-01-02T18:39:00,2024-01-02T18:39:01.344000,1344,1249197,3628,"select region, sum(revenue) from revenue group by 1"
Q01-041,WH_FINOPS,frank,DATA_ENGINEER,2024-01-02T14:28:00,2024-01-02T14:28:02.098000,2098,7674433,2484,select * from sessions where user_id = 'frank' limit 100
Q01-042,WH_SCIENCE,ava,SECURITY,2024-01-02T08:05:00,2024-01-02T08:05:03.174000,3174,6032335,4718,"select region, sum(revenue) from revenue group by 1"
Q01-043,WH_INGEST,frank,SYSADMIN,2024-01-02T13:30:00,2024-01-02T13:30:02.298000,2298,145861,4646,select count(*) from sales where order_date >= '2024-01-02'
Q01-044,WH_FINOPS,diego,TEMP_ROLE,2024-01-02T09:46:00,2024-01-02T09:46:01.935000,1935,5920964,1804,select * from sessions where user_id = 'diego' limit 100
Q01-045,WH_FINOPS,frank,DATA_ENGINEER,2024-01-02T22:30:00,2024-01-02T22:30:01.170000,1170,1640140,332,"select region, sum(revenue) from revenue group by 1"
Q01-046,WH_SCIENCE,ellen,SYSADMIN,2024-01-02T12:27:00,2024-01-02T12:27:01.126000,1126,1522187,2427,"select region, sum(revenue) from revenue group by 1"
Q01-047,WH_SCIENCE,ben,ANALYST,2024-01-02T04:30:00,2024-01-02T04:30:04.468000,4468,6148070,4358,select * from inventory where updated_at >= '2024-01-02'
Q01-048,WH_INGEST,chloe,ANALYST,2024-01-02T16:26:00,2024-01-02T16:26:02.467000,2467,5692698,953,create temporary table stage_1 as select * from raw_events
Q01-049,WH_CORE,ben,ANALYST,2024-01-02T23:05:00,2024-01-02T23:05:03.305000,3305,6146687,749,create temporary table stage_1 as select * from raw_events
Q01-050,WH_CORE,ellen,DATA_ENGINEER,2024-01-02T04:13:00,2024-01-02T04:13:03.775000,3775,6193841,2157,select * from inventory where updated_at >= '2024-01-02'
Q01-051,WH_SCIENCE,chloe,TEMP_ROLE,2024-01-02T03:41:00,2024-01-02T03:41:01.965000,1965,7920069,215,select * from inventory where updated_at >= '2024-01-02'
Q01-052,WH_FINOPS,ellen,DATA_ENGINEER,2024-01-02T07:33:00,2024-01-02T07:33:00.567000,567,7799116,2485,create temporary table stage_1 as select * from raw_events
Q01-053,WH_CORE,ava,ANALYST,2024-01-02T01:16:00,2024-01-02T01:16:02.543000,2543,8274869,961,select count(*) from sales where order_date >= '2024-01-02'
Q01-054,WH_ANALYTICS,ben,FINOPS,2024-01-02T13:15:00,2024-01-02T13:15:03.766000,3766,6234540,4435,create temporary table stage_1 as select * from raw_events
Q01-055,WH_FINOPS,frank,TEMP_ROLE,2024-01-02T05:16:00,2024-01-02T05:16:03.448000,3448,1671307,4018,select * from inventory where updated_at >= '2024-01-02'
Q01-056,WH_SCIENCE,ava,DATA_ENGINEER,2024-01-02T23:33:00,2024-01-02T23:33:03.085000,3085,3655180,3642,create temporary table stage_1 as select * from raw_events
Q01-057,WH_ANALYTICS,ava,DATA_ENGINEER,2024-01-02T23:24:00,2024-01-02T23:24:03.059000,3059,6027548,506,create temporary table stage_1 as select * from raw_events
Q01-058,WH_INGEST,ava,ANALYST,2024-01-02T15:31:00,2024-01-02T15:31:00.800000,800,3568545,4901,select count(*) from sales where order_date >= '2024-01-02'
Q01-059,WH_CORE,ben,DATA_ENGINEER,2024-01-02T04:17:00,2024-01-02T04:17:01.731000,1731,1161087,4550,select * from sessions where user_id = 'ben' limit 100
Q02-000,WH_FINOPS,ben,ANALYST,2024-01-03T11:12:00,2024-01-03T11:12:01.258000,1258,57572,2281,select * from sessions where user_id = 'ben' limit 100
Q02-001,WH_ANALYTICS,chloe,FINOPS,2024-01-03T05:57:00,2024-01-03T05:57:00.950000,950,442519,1089,select count(*) from sales where order_date >= '2024-01-03'
Q02-002,WH_INGEST,ellen,ANALYST,2024-01-03T11:03:00,2024-01-03T11:03:00.179000,179,2933366,2183,select count(*) from sales where order_date >= '2024-01-03'
Q02-003,WH_ANALYTICS,diego,TEMP_ROLE,2024-01-03T17:57:00,2024-01-03T17:57:00.981000,981,1076326,3911,create temporary table stage_2 as select * from raw_events
Q02-004,WH_INGEST,ellen,FINOPS,2024-01-03T03:43:00,2024-01-03T03:43:03.752000,3752,8463010,1824,select * from inventory where updated_at >= '2024-01-03'
Q02-005,WH_CORE,frank,TEMP_ROLE,2024-01-03T17:47:00,2024-01-03T17:47:02.520000,2520,7694678,265,select count(*) from sales where order_date >= '2024-01-03'
Q02-006,WH_SCIENCE,diego,SECURITY,2024-01-03T23:25:00,2024-01-03T23:25:00.934000,934,8235346,3643,select count(*) from sales where order_date >= '2024-01-03'
Q02-007,WH_CORE,ellen,DATA_ENGINEER,2024-01-03T05:03:00,2024-01-03T05:03:00.588000,588,2127143,2262,select * from inventory where updated_at >= '2024-01-03'
Q02-008,WH_FINOPS,frank,FINOPS,2024-01-03T11:05:00,2024-01-03T11:05:03.170000,3170,8911266,2425,create temporary table stage_2 as select * from raw_events
Q02-009,WH_FINOPS,diego,FINOPS,2024-01-03T03:23:00,2024-01-03T03:23:00.987000,987,3617488,3533,create temporary table stage_2 as select * from raw_events
Q02-010,WH_ANALYTICS,chloe,SECURITY,2024-01-03T15:28:00,2024-01-03T15:28:03.316000,3316,6989148,788,"select region, sum(revenue) from revenue group by 1"
Q02-011,WH_SCIENCE,frank,DATA_ENGINEER,2024-01-03T08:42:00,2024-01-03T08:42:03.116000,3116,2570856,3895,select count(*) from sales where order_date >= '2024-01-03'
Q02-012,WH_CORE,ava,SYSADMIN,2024-01-03T14:44:00,2024-01-03T14:44:00.841000,841,6261976,1075,select * from inventory where updated_at >= '2024-01-03'
Q02-013,WH_CORE,ellen,FINOPS,2024-01-03T19:10:00,2024-01-03T19:10:02.750000,2750,2060700,3375,"select region, sum(revenue) from revenue group by 1"
Q02-014,WH_SCIENCE,ava,TEMP_ROLE,2024-01-03T09:49:00,2024-01-03T09:49:02.609000,2609,5909644,858,select * from inventory where updated_at >= '2024-01-03'
Q02-015,WH_FINOPS,ben,ANALYST,2024-01-03T22:24:00,2024-01-03T22:24:04,4000,3772204,896,"select region, sum(revenue) from revenue group by 1"
Q02-016,WH_FINOPS,ava,DATA_ENGINEER,2024-01-03T09:30:00,2024-01-03T09:30:01.902000,1902,7209311,4605,select * from inventory where updated_at >= '2024-01-03'
Q02-017,WH_FINOPS,frank,TEMP_ROLE,2024-01-03T19:00:00,2024-01-03T19:00:00.265000,265,4497028,247,select * from sessions where user_id = 'frank' limit 100
Q02-018,WH_INGEST,chloe,TEMP_ROLE,2024-01-03T11:35:00,2024-01-03T11:35:02.925000,2925,112438,1496,select * from sessions where user_id = 'chloe' limit 100
Q02-019,WH_FINOPS,diego,TEMP_ROLE,2024-01-03T02:22:00,2024-01-03T02:22:01.212000,1212,524340,761,select * from inventory where updated_at >= '2024-01-03'
Q02-020,WH_ANALYTICS,diego,SECURITY,2024-01-03T15:29:00,2024-01-03T15:29:02.842000,2842,2650889,3041,"select region, sum(revenue) from revenue group by 1"
Q02-021,WH_INGEST,ellen,FINOPS,2024-01-03T02:53:00,2024-01-03T02:53:00.480000,480,2620197,1299,select * from inventory where updated_at >= '2024-01-03'
Q02-022,WH_CORE,ava,TEMP_ROLE,2024-01-03T09:17:00,2024-01-03T09:17:03.679000,3679,7123787,3988,select * from inventory where updated_at >= '2024-01-03'
Q02-023,WH_SCIENCE,chloe,SECURITY,2024-01-03T07:21:00,2024-01-03T07:21:04.247000,4247,1919540,2837,create temporary table stage_2 as select * from raw_events
Q02-024,WH_CORE,frank,DATA_ENGINEER,2024-01-03T23:09:00,2024-01-03T23:09:04.036000,4036,8850487,2536,select count(*) from sales where order_date >= '2024-01-03'
Q02-025,WH_ANALYTICS,ellen,SECURITY,2024-01-03T01:52:00,2024-01-03T01:52:00.112000,112,3439650,2479,select * from sessions where user_id = 'ellen' limit 100
Q02-026,WH_ANALYTICS,chloe,DATA_ENGINEER,2024-01-03T11:11:00,2024-01-03T11:11:01.032000,1032,139686,4084,create temporary table stage_2 as select * from raw_events
Q02-027,WH_ANALYTICS,diego,ANALYST,2024-01-03T18:10:00,2024-01-03T18:10:01.935000,1935,8403009,4587,"select region, sum(revenue) from revenue group by 1"
Q02-028,WH_CORE,frank,SECURITY,2024-01-03T01:26:00,2024-01-03T01:26:03.623000,3623,324430,3776,select count(*) from sales where order_date >= '2024-01-03'
Q02-029,WH_INGEST,diego,FINOPS,2024-01-03T19:34:00,2024-01-03T19:34:03.363000,3363,7017741,2381,select count(*) from sales where order_date >= '2024-01-03'
Q02-030,WH_SCIENCE,chloe,SYSADMIN,2024-01-03T05:51:00,2024-01-03T05:51:03.819000,3819,6080880,731,create temporary table stage_2 as select * from raw_events
Q02-031,WH_CORE,diego,ANALYST,2024-01-03T20:06:00,2024-01-03T20:06:03.330000,3330,8800632,654,create temporary table stage_2 as select * from raw_events
Q02-032,WH_INGEST,chloe,TEMP_ROLE,2024-01-03T07:33:00,2024-01-03T07:33:02.778000,2778,2830798,635,select * from inventory where updated_at >= '2024-01-03'
Q02-033,WH_CORE,ellen,FINOPS,2024-01-03T06:37:00,2024-01-03T06:37:02.912000,2912,5900476,1219,select * from sessions where user_id = 'ellen' limit 100
Q02-034,WH_CORE,chloe,ANALYST,2024-01-03T06:44:00,2024-01-03T06:44:01.471000,1471,2574729,627,select * from sessions where user_id = 'chloe' limit 100
Q02-035,WH_SCIENCE,ellen,SECURITY,2024-01-03T19:46:00,2024-01-03T19:46:03.727000,3727,5432534,2599,select * from sessions where user_id = 'ellen' limit 100
Q02-036,WH_SCIENCE,diego,SYSADMIN,2024-01-03T15:05:00,2024-01-03T15:05:02.530000,2530,4618259,4854,select count(*) from sales where order_date >= '2024-01-03'
Q02-037,WH_INGEST,ava,FINOPS,2024-01-03T10:35:00,2024-01-03T10:35:03.832000,3832,7591856,318,select count(*) from sales where order_date >= '2024-01-03'
Q02-038,WH_INGEST,ava,DATA_ENGINEER,2024-01-03T22:00:00,2024-01-03T22:00:00.789000,789,8517186,3159,create temporary table stage_2 as select * from raw_events
Q02-039,WH_FINOPS,frank,FINOPS,2024-01-03T01:24:00,2024-01-03T01:24:03.734000,3734,3168134,2643,select * from inventory where updated_at >= '2024-01-03'
